date,close,signal,position,entry_price,exit_price,trade_reason
2024-11-12,3877.03,0,0,,,
2024-11-13,3877.03,0,0,,,
2024-11-14,3874.88,0,0,,,
2024-11-15,3931.36,0,0,,,
2024-11-18,3915.96,0,0,,,
2024-11-19,4014.09,0,0,,,
2024-11-20,3987.15,0,0,,,
2024-11-21,4003.07,0,0,,,
2024-11-22,3919.16,0,0,,,
2024-11-25,3926.7,0,0,,,
2024-11-26,3901.32,0,0,,,
2024-11-27,3920.08,0,0,,,
2024-11-28,3839.84,0,0,,,
2024-11-29,3769.15,0,0,,,
2024-12-02,3719.52,0,0,,,
2024-12-03,3715.36,0,0,,,
2024-12-04,3815.47,0,0,,,
2024-12-05,3884.43,0,0,,,
2024-12-06,3979.83,0,0,,,
2024-12-09,4040.63,0,0,,,
2024-12-10,4111.34,0,0,,,
2024-12-11,4023.82,0,0,,,
2024-12-12,4000.67,0,0,,,
2024-12-13,4006.08,0,0,,,
2024-12-16,3890.7,0,0,,,
2024-12-17,3850.98,0,0,,,
2024-12-18,3908.41,0,0,,,
2024-12-19,3835.01,0,0,,,
2024-12-20,3665.97,0,0,,,
2024-12-23,3637.21,0,0,,,
2024-12-24,3640.73,0,0,,,
2024-12-25,3592.76,0,0,,,
2024-12-26,3553.5,0,0,,,
2024-12-27,3624.39,0,0,,,
2024-12-30,3620.08,0,0,,,
2024-12-31,3679.23,0,0,,,
2025-01-01,3649.82,0,0,,,
2025-01-02,3749.47,0,0,,,
2025-01-03,3704.8,0,0,,,
2025-01-06,3672.11,1,1,3672.11,,BUY | MACD crossed above signal (-58.75 > -59.95) | macd<0
2025-01-07,3754.35,0,1,,,
2025-01-08,3803.46,0,1,,,
2025-01-09,3798.2,0,1,,,
2025-01-10,3845.21,0,1,,,
2025-01-13,3823.86,0,1,,,
2025-01-14,3818.19,0,1,,,
2025-01-15,3826.37,0,1,,,
2025-01-16,3798.43,0,1,,,
2025-01-17,3759.89,0,1,,,
2025-01-20,3809.69,0,1,,,
2025-01-21,3721.39,0,1,,,
2025-01-22,3695.13,0,1,,,
2025-01-23,3680.65,-1,-1,,3680.65,SELL | bearish MACD cross
2025-01-24,3625.58,0,-1,,,
2025-01-27,3588.59,0,-1,,,
2025-01-28,3611.32,0,-1,,,
2025-01-29,3628.79,0,-1,,,
2025-01-30,3630.19,0,-1,,,
2025-01-31,3655.38,0,-1,,,
2025-02-03,3574.48,0,-1,,,
2025-02-04,3551.29,0,-1,,,
2025-02-05,3644.04,0,-1,,,
2025-02-06,3648.05,0,-1,,,
2025-02-07,3655.03,1,1,3655.03,,BUY | MACD crossed above signal (-38.66 > -39.94) | macd<0
2025-02-10,3666.38,0,1,,,
2025-02-11,3640.94,0,1,,,
2025-02-12,3710.67,0,1,,,
2025-02-13,3678.5,0,1,,,
2025-02-14,3661.94,0,1,,,
2025-02-17,3583.81,0,1,,,
2025-02-18,3548.58,-1,-1,,3548.58,SELL | bearish MACD cross
